Name, Z, A, IonicCharge,ExcitationEnergy[keV], NEvents
######## Others ############
K40, 19, 40, 0, 0, 10000000
Cs137, 55, 137, 0, 0, 10000000
Co60, 27, 60, 0, 0, 10000000
La138, 75, 138, 0, 0, 10000000
######## Th232 decay chain ############
Ac228, 89, 228, 0, 0, 10000000
Pb212, 82, 212, 0, 0, 10000000
Bi212, 83, 212, 0, 0, 10000000
Tl208, 81, 208, 0, 0, 10000000
######## U238 decay chain #############
Th234, 90, 234, 0, 0, 10000000
mPa234, 91, 234, 1, 73.920, 10000000 
Pb214, 82, 214, 0, 0,  10000000
Bi214, 83, 214, 0, 0,  10000000
